"",BBK01.OU0115,BBK01.OU0115_FLAGS,BBK01.OU0116,BBK01.OU0116_FLAGS,BBK01.OU0123,BBK01.OU0123_FLAGS,BBK01.OU0175,BBK01.OU0175_FLAGS,BBK01.OU0176,BBK01.OU0176_FLAGS,BBK01.OU0355,BBK01.OU0355_FLAGS,BBK01.OU0138,BBK01.OU0138_FLAGS,BBK01.OU0139,BBK01.OU0139_FLAGS,BBK01.OU0142,BBK01.OU0142_FLAGS,BBK01.OUA185,BBK01.OUA185_FLAGS,BBK01.OUA186,BBK01.OUA186_FLAGS,BBK01.OV0115,BBK01.OV0115_FLAGS,BBK01.OV0116,BBK01.OV0116_FLAGS,BBK01.OV0123,BBK01.OV0123_FLAGS,BBK01.OV0175,BBK01.OV0175_FLAGS,BBK01.OV0176,BBK01.OV0176_FLAGS,BBK01.OV0355,BBK01.OV0355_FLAGS,BBK01.OV0138,BBK01.OV0138_FLAGS,BBK01.OV0139,BBK01.OV0139_FLAGS,BBK01.OV0142,BBK01.OV0142_FLAGS,BBK01.OVA185,BBK01.OVA185_FLAGS,BBK01.OVA186,BBK01.OVA186_FLAGS,BBK01.OUA187,BBK01.OUA187_FLAGS,BBK01.OU0184,BBK01.OU0184_FLAGS,BBK01.OU0178,BBK01.OU0178_FLAGS,BBK01.OUA188,BBK01.OUA188_FLAGS,BBK01.OU0179,BBK01.OU0179_FLAGS,BBK01.OUA189,BBK01.OUA189_FLAGS,BBK01.OUA190,BBK01.OUA190_FLAGS,BBK01.OU0144,BBK01.OU0144_FLAGS,BBK01.OU0149,BBK01.OU0149_FLAGS,BBK01.OU0337,BBK01.OU0337_FLAGS,BBK01.OU0307,BBK01.OU0307_FLAGS,BBK01.OU0150,BBK01.OU0150_FLAGS,BBK01.OVA187,BBK01.OVA187_FLAGS,BBK01.OV0184,BBK01.OV0184_FLAGS,BBK01.OV0178,BBK01.OV0178_FLAGS,BBK01.OVA188,BBK01.OVA188_FLAGS,BBK01.OV0179,BBK01.OV0179_FLAGS,BBK01.OVA189,BBK01.OVA189_FLAGS,BBK01.OVA190,BBK01.OVA190_FLAGS,BBK01.OV0144,BBK01.OV0144_FLAGS,BBK01.OV0149,BBK01.OV0149_FLAGS,BBK01.OV0337,BBK01.OV0337_FLAGS,BBK01.OV0307,BBK01.OV0307_FLAGS,BBK01.OV0150,BBK01.OV0150_FLAGS
1952-03,37.785,,30.028,,18.577,,17.681,,17.272,,0.409,,0.896,,0.213,,0.683,,,,,,0.665,,0.480,,0.319,,0.233,,0.172,,0.061,,0.086,,0.001,,0.085,,,,,,,,1.545,,8.476,,,,1.050,,,,,,0.164,,1.285,,,,6.122,,0.023,,,,0.041,,0.184,,,,0.037,,,,,,0.012,,0.033,,,,0.018,,-,Nothing exists
1952-04,38.057,,30.079,,18.593,,17.602,,17.088,,0.514,,0.991,,0.217,,0.774,,,,,,0.272,,0.051,,0.016,,-0.079,,-0.184,,0.105,,0.095,,0.004,,0.091,,,,,,,,1.576,,8.655,,,,1.091,,,,,,0.172,,1.257,,,,6.146,,0.023,,,,0.031,,0.119,,,,0.041,,,,,,0.008,,0.032,,,,0.024,,-,Nothing exists
1952-05,38.625,,30.404,,18.695,,17.646,,17.051,,0.595,,1.049,,0.203,,0.846,,,,,,0.568,,0.325,,0.102,,0.044,,-0.037,,0.081,,0.058,,-0.014,,0.072,,,,,,,,1.600,,8.925,,,,1.129,,,,,,0.181,,1.291,,,,6.156,,0.024,,,,0.024,,0.270,,,,0.038,,,,,,0.009,,0.034,,,,0.010,,0.001,
1952-06,38.796,,30.811,,18.573,,17.636,,17.161,,0.475,,0.937,,0.217,,0.720,,,,,,0.171,,0.407,,-0.122,,-0.010,,0.110,,-0.120,,-0.112,,0.014,,-0.126,,,,,,,,1.645,,9.078,,,,1.174,,,,,,0.187,,1.325,,,,6.141,,0.024,,,,0.045,,0.153,,,,0.045,,,,,,0.006,,0.034,,,,-0.015,,-,Nothing exists
1952-07,39.440,,31.250,,18.790,,17.774,,17.198,,0.576,,1.016,,0.220,,0.796,,,,,,0.644,,0.439,,0.217,,0.138,,0.037,,0.101,,0.079,,0.003,,0.076,,,,,,,,1.667,,9.339,,,,1.226,,,,,,0.193,,1.382,,,,6.160,,0.025,,,,0.022,,0.261,,,,0.052,,,,,,0.006,,0.057,,,,0.019,,0.001,
1952-08,40.204,,31.937,,19.106,,18.035,,17.489,,0.546,,1.071,,0.201,,0.870,,,,,,0.764,,0.687,,0.316,,0.261,,0.291,,-0.030,,0.055,,-0.019,,0.074,,,,,,,,1.701,,9.544,,,,1.322,,,,,,0.199,,1.453,,,,6.180,,0.028,,,,0.034,,0.205,,,,0.096,,,,,,0.006,,0.071,,,,0.020,,0.003,
1952-09,41.358,,33.035,,19.652,,18.642,,18.136,,0.506,,1.010,,0.206,,0.804,,,,,,1.004,,1.098,,0.546,,0.607,,0.647,,-0.040,,-0.061,,0.005,,-0.066,,,,,,,,1.772,,9.803,,,,1.345,,,,,,0.230,,1.515,,,,6.152,,0.028,,,,0.071,,0.259,,,,0.023,,,,,,0.031,,0.062,,,,0.002,,-,Nothing exists
1952-10,42.239,,33.985,,19.995,,19.065,,18.569,,0.496,,0.930,,0.210,,0.720,,,,,,0.881,,0.950,,0.343,,0.423,,0.433,,-0.010,,-0.080,,0.004,,-0.084,,,,,,,,1.823,,10.115,,,,1.407,,,,,,0.234,,1.600,,,,6.167,,0.027,,,,0.051,,0.312,,,,0.062,,,,,,0.004,,0.085,,,,0.015,,-0.001,
1952-11,43.110,,34.865,,20.311,,19.439,,18.956,,0.483,,0.872,,0.193,,0.679,,,,,,0.871,,0.880,,0.316,,0.374,,0.387,,-0.013,,-0.058,,-0.017,,-0.041,,,,,,,,1.893,,10.466,,,,1.448,,,,,,0.236,,1.646,,,,6.187,,0.027,,,,0.070,,0.351,,,,0.041,,,,,,0.002,,0.046,,,,0.020,,-,Nothing exists
1952-12,44.701,,36.409,,20.895,,20.045,,19.640,,0.405,,0.850,,0.216,,0.634,,,,,,1.501,,1.544,,0.584,,0.606,,0.684,,-0.078,,-0.022,,0.023,,-0.045,,,,,,,,2.029,,11.013,,,,1.489,,,,,,0.263,,1.731,,,,6.300,,0.028,,,,0.136,,0.547,,,,0.041,,,,,,0.027,,0.085,,,,0.023,,0.001,
1953-01,45.888,,37.218,,21.366,,20.601,,20.060,,0.541,,0.765,,0.152,,0.613,,,,,,1.187,,0.809,,0.471,,0.556,,0.420,,0.136,,-0.085,,-0.064,,-0.021,,,,,,,,2.069,,11.257,,,,1.566,,,,,,0.302,,1.786,,,,6.305,,0.026,,,,0.040,,0.244,,,,0.077,,,,,,0.039,,0.055,,,,0.005,,-0.002,
1953-02,46.700,,37.945,,21.780,,20.969,,20.410,,0.559,,0.811,,0.143,,0.668,,,,,,0.812,,0.727,,0.414,,0.368,,0.350,,0.018,,0.046,,-0.009,,0.055,,,,,,,,2.151,,11.445,,,,1.617,,,,,,0.305,,1.848,,,,6.327,,0.026,,,,0.082,,0.188,,,,0.051,,,,,,0.003,,0.062,,,,0.022,,-,Nothing exists
1953-03,47.260,,38.535,,21.882,,21.019,,20.523,,0.496,,0.863,,0.159,,0.704,,,,,,0.560,,0.590,,0.102,,0.050,,0.113,,-0.063,,0.052,,0.016,,0.036,,,,,,,,2.247,,11.748,,,,1.650,,,,,,0.315,,1.867,,,,6.328,,0.026,,,,0.096,,0.303,,,,0.033,,,,,,0.010,,0.019,,,,0.001,,-,Nothing exists
1953-04,48.193,,39.281,,22.099,,21.206,,20.655,,0.551,,0.893,,0.174,,0.719,,,,,,0.933,,0.746,,0.217,,0.187,,0.132,,0.055,,0.030,,0.015,,0.015,,,,,,,,2.344,,12.123,,,,1.698,,,,,,0.322,,1.938,,,,6.357,,0.027,,,,0.097,,0.375,,,,0.048,,,,,,0.007,,0.071,,,,0.029,,0.001,
1953-05,49.005,,39.921,,22.320,,21.406,,20.763,,0.643,,0.914,,0.162,,0.752,,,,,,0.812,,0.640,,0.221,,0.200,,0.108,,0.092,,0.021,,-0.012,,0.033,,,,,,,,2.422,,12.495,,,,1.744,,,,,,0.325,,1.984,,,,6.347,,0.026,,,,0.078,,0.372,,,,0.046,,,,,,0.003,,0.046,,,,-0.010,,-0.001,
1953-06,49.828,,40.597,,22.525,,21.539,,20.887,,0.652,,0.986,,0.176,,0.810,,,,,,0.823,,0.676,,0.205,,0.133,,0.124,,0.009,,0.072,,0.014,,0.058,,,,,,,,2.505,,12.824,,,,1.782,,,,,,0.357,,2.040,,,,6.407,,0.026,,,,0.083,,0.329,,,,0.038,,,,,,0.032,,0.056,,,,0.060,,-,Nothing exists
1953-07,50.578,,41.278,,22.646,,21.660,,20.986,,0.674,,0.986,,0.167,,0.819,,,,,,0.750,,0.681,,0.121,,0.121,,0.099,,0.022,,-,Nothing exists,-0.009,,0.009,,,,,,,,2.646,,13.213,,,,1.755,,,,,,0.366,,2.123,,,,6.392,,0.022,,,,0.141,,0.389,,,,-0.027,,,,,,0.009,,0.083,,,,-0.015,,-0.004,
1953-08,51.608,,42.148,,22.797,,21.776,,21.122,,0.654,,1.021,,0.171,,0.850,,,,,,1.030,,0.870,,0.151,,0.116,,0.136,,-0.020,,0.035,,0.004,,0.031,,,,,,,,2.717,,13.583,,,,1.812,,,,,,0.358,,2.363,,,,6.468,,0.022,,,,0.071,,0.370,,,,0.057,,,,,,-0.008,,0.240,,,,0.076,,-,Nothing exists
1953-09,52.741,,43.340,,23.284,,22.375,,21.639,,0.736,,0.909,,0.188,,0.721,,,,,,1.133,,1.192,,0.487,,0.599,,0.517,,0.082,,-0.112,,0.017,,-0.129,,,,,,,,2.856,,13.982,,,,1.876,,,,,,0.353,,2.425,,,,6.418,,0.021,,,,0.139,,0.399,,,,0.064,,,,,,-0.005,,0.062,,,,-0.050,,-0.001,
1953-10,53.364,,44.108,,23.204,,22.367,,21.728,,0.639,,0.837,,0.183,,0.654,,,,,,0.623,,0.768,,-0.080,,-0.008,,0.089,,-0.097,,-0.072,,-0.005,,-0.067,,,,,,,,2.999,,14.362,,,,1.948,,,,,,0.362,,2.505,,,,6.430,,0.021,,,,0.143,,0.380,,,,0.072,,,,,,0.009,,0.080,,,,0.012,,-,Nothing exists
1953-11,54.367,,44.920,,23.363,,22.565,,21.915,,0.650,,0.798,,0.163,,0.635,,,,,,0.863,,0.812,,0.159,,0.198,,0.187,,0.011,,-0.039,,-0.020,,-0.019,,,,,,,,3.110,,14.722,,,,2.019,,,,,,0.401,,2.569,,,,6.604,,0.021,,,,0.111,,0.360,,,,0.071,,,,,,0.039,,0.064,,,,0.034,,-,Nothing exists
1953-12,55.655,,46.128,,23.647,,22.893,,22.308,,0.585,,0.754,,0.169,,0.585,,,,,,1.288,,1.208,,0.284,,0.328,,0.393,,-0.065,,-0.044,,0.006,,-0.050,,,,,,,,3.297,,15.160,,,,2.096,,,,,,0.410,,2.667,,,,6.807,,0.021,,,,0.187,,0.438,,,,0.077,,,,,,0.009,,0.098,,,,0.203,,-,Nothing exists
1954-01,56.798,,46.776,,24.106,,23.315,,22.495,,0.820,,0.791,,0.178,,0.613,,,,,,1.143,,0.648,,0.459,,0.422,,0.187,,0.235,,0.037,,0.009,,0.028,,,,,,,,3.260,,15.408,,,,2.213,,,,,,0.406,,2.795,,,,6.958,,0.021,,,,-0.037,,0.248,,,,0.117,,,,,,-0.004,,0.128,,,,0.151,,-,Nothing exists
1954-02,58.123,,47.702,,24.290,,23.483,,22.725,,0.758,,0.807,,0.174,,0.633,,,,,,1.325,,0.926,,0.184,,0.168,,0.230,,-0.062,,0.016,,-0.004,,0.020,,,,,,,,3.330,,15.690,,,,2.309,,,,,,0.423,,3.026,,,,7.354,,0.025,,,,0.070,,0.282,,,,0.096,,,,,,0.017,,0.231,,,,0.396,,0.004,
1954-03,59.282,,48.594,,24.625,,23.861,,23.142,,0.719,,0.764,,0.175,,0.589,,,,,,1.159,,0.892,,0.335,,0.378,,0.417,,-0.039,,-0.043,,0.001,,-0.044,,,,,,,,3.331,,15.959,,,,2.360,,,,,,0.464,,3.137,,,,7.565,,0.026,,,,0.001,,0.269,,,,0.051,,,,,,0.041,,0.111,,,,0.211,,0.001,
1954-04,59.817,,49.097,,24.627,,23.870,,23.104,,0.766,,0.757,,0.191,,0.566,,,,,,0.535,,0.503,,0.002,,0.009,,-0.038,,0.047,,-0.007,,0.016,,-0.023,,,,,,,,3.413,,16.207,,,,2.464,,,,,,0.459,,3.230,,,,7.557,,0.029,,,,0.082,,0.248,,,,0.104,,,,,,-0.005,,0.093,,,,-0.008,,0.003,
1954-05,60.813,,49.723,,24.663,,23.875,,23.003,,0.872,,0.788,,0.204,,0.584,,,,,,0.996,,0.626,,0.036,,0.005,,-0.101,,0.106,,0.031,,0.013,,0.018,,,,,,,,3.465,,16.658,,,,2.590,,,,,,0.457,,3.315,,,,7.766,,0.031,,,,0.052,,0.451,,,,0.126,,,,,,-0.002,,0.085,,,,0.209,,0.002,
1954-06,61.646,,50.475,,24.953,,24.184,,23.385,,0.799,,0.769,,0.235,,0.534,,,,,,0.833,,0.752,,0.290,,0.309,,0.382,,-0.073,,-0.019,,0.031,,-0.050,,,,,,,,3.560,,16.680,,,,2.725,,,,,,0.448,,3.399,,,,7.849,,0.043,,,,0.095,,0.022,,,,0.135,,,,,,-0.009,,0.084,,,,0.083,,0.012,
1954-07,62.448,,51.246,,24.951,,24.147,,23.402,,0.745,,0.804,,0.225,,0.579,,,,,,0.802,,0.771,,-0.002,,-0.037,,0.017,,-0.054,,0.035,,-0.010,,0.045,,,,,,,,3.627,,17.102,,,,2.858,,,,,,0.459,,3.523,,,,7.824,,0.050,,,,0.067,,0.422,,,,0.133,,,,,,0.011,,0.124,,,,-0.025,,0.007,
1954-08,63.149,,51.850,,24.923,,24.170,,23.362,,0.808,,0.753,,0.198,,0.555,,,,,,0.701,,0.604,,-0.028,,0.023,,-0.040,,0.063,,-0.051,,-0.027,,-0.024,,,,,,,,3.661,,17.525,,,,2.989,,,,,,0.446,,3.617,,,,7.879,,0.052,,,,0.034,,0.423,,,,0.131,,,,,,-0.013,,0.094,,,,0.055,,0.002,
1954-09,64.870,,53.501,,25.399,,24.639,,23.887,,0.752,,0.760,,0.202,,0.558,,,,,,1.281,,1.211,,0.476,,0.469,,0.525,,-0.056,,0.007,,0.004,,0.003,,,,,,,,3.779,,17.885,,,,3.605,,,,,,0.350,,3.746,,,,7.946,,0.047,,,,0.118,,0.360,,,,0.176,,,,,,-0.096,,0.129,,,,0.067,,-0.005,
1954-10,65.915,,54.521,,25.621,,24.858,,24.146,,0.712,,0.763,,0.204,,0.559,,,,,,1.045,,1.020,,0.222,,0.219,,0.259,,-0.040,,0.003,,0.002,,0.001,,,,,,,,3.821,,18.303,,,,3.754,,,,,,0.344,,3.900,,,,8.004,,0.049,,,,0.042,,0.418,,,,0.149,,,,,,-0.006,,0.154,,,,0.058,,0.002,
1954-11,67.061,,55.594,,25.899,,25.168,,24.468,,0.700,,0.731,,0.175,,0.556,,,,,,1.146,,1.073,,0.278,,0.310,,0.322,,-0.012,,-0.032,,-0.029,,-0.003,,,,,,,,3.888,,18.748,,,,3.918,,,,,,0.342,,4.004,,,,8.074,,0.051,,,,0.067,,0.445,,,,0.164,,,,,,-0.002,,0.104,,,,0.070,,0.002,
1954-12,69.342,,57.954,,27.138,,26.473,,25.849,,0.624,,0.665,,0.185,,0.480,,,,,,2.281,,2.360,,1.239,,1.305,,1.381,,-0.076,,-0.066,,0.010,,-0.076,,,,,,,,4.087,,19.190,,,,4.093,,,,,,0.316,,4.181,,,,8.071,,0.053,,,,0.199,,0.442,,,,0.175,,,,,,-0.026,,0.177,,,,-0.003,,0.002,
1955-01,70.473,,59.002,,27.595,,26.916,,26.178,,0.738,,0.679,,0.176,,0.503,,,,,,1.131,,1.048,,0.457,,0.443,,0.329,,0.114,,0.014,,-0.009,,0.023,,,,,,,,4.136,,19.529,,,,4.253,,,,,,0.328,,4.353,,,,7.966,,0.049,,,,0.049,,0.339,,,,0.160,,,,,,0.012,,0.172,,,,-0.105,,-0.004,
1955-02,71.175,,59.718,,27.714,,27.024,,26.329,,0.695,,0.690,,0.204,,0.486,,,,,,0.702,,0.716,,0.119,,0.108,,0.151,,-0.043,,0.011,,0.028,,-0.017,,,,,,,,4.177,,19.824,,,,4.369,,,,,,0.303,,4.455,,,,7.979,,0.057,,,,0.041,,0.295,,,,0.116,,,,,,-0.025,,0.102,,,,0.013,,0.008,
1955-03,72.353,,60.707,,28.060,,27.407,,26.688,,0.719,,0.653,,0.174,,0.479,,,,,,1.178,,0.989,,0.346,,0.383,,0.359,,0.024,,-0.037,,-0.030,,-0.007,,,,,,,,4.196,,20.144,,,,4.604,,,,,,0.303,,4.547,,,,8.124,,0.051,,,,0.019,,0.320,,,,0.235,,,,,,-,Nothing exists,0.092,,,,0.145,,-0.006,
1955-04,73.137,,61.493,,28.004,,27.372,,26.676,,0.696,,0.632,,0.187,,0.445,,,,,,0.784,,0.786,,-0.056,,-0.035,,-0.012,,-0.023,,-0.021,,0.013,,-0.034,,,,,,,,4.294,,20.482,,,,4.779,,,,,,0.305,,4.716,,,,8.123,,0.054,,,,0.098,,0.338,,,,0.175,,,,,,0.002,,0.169,,,,-0.001,,0.003,
1955-05,73.825,,62.448,,27.964,,27.558,,26.772,,0.786,,0.406,,0.230,,0.176,,,,,,0.688,,0.955,,-0.040,,0.186,,0.096,,0.090,,-0.226,,0.043,,-0.269,,,,,,,,4.413,,20.931,,,,4.917,,,,,,0.312,,4.817,,,,7.956,,0.056,,,,0.119,,0.449,,,,0.138,,,,,,0.007,,0.101,,,,-0.167,,0.002,
1955-06,74.920,,63.633,,28.267,,27.908,,27.243,,0.665,,0.359,,0.206,,0.153,,,,,,1.095,,1.185,,0.303,,0.350,,0.471,,-0.121,,-0.047,,-0.024,,-0.023,,,,,,,,4.530,,21.289,,,,5.070,,,,,,0.299,,4.938,,,,7.974,,0.058,,,,0.117,,0.358,,,,0.153,,,,,,-0.013,,0.121,,,,0.018,,0.002,
1955-07,76.247,,64.835,,28.208,,27.823,,27.204,,0.619,,0.385,,0.241,,0.144,,,,,,1.327,,1.202,,-0.059,,-0.085,,-0.039,,-0.046,,0.026,,0.035,,-0.009,,,,,,,,4.588,,21.871,,,,5.280,,,,,,0.287,,5.302,,,,7.996,,0.062,,,,0.058,,0.582,,,,0.210,,,,,,-0.012,,0.364,,,,0.022,,0.004,
1955-08,77.325,,65.759,,28.230,,27.849,,27.208,,0.641,,0.381,,0.213,,0.168,,,,,,1.078,,0.924,,0.022,,0.026,,0.004,,0.022,,-0.004,,-0.028,,0.024,,,,,,,,4.645,,22.417,,,,5.459,,,,,,0.283,,5.470,,,,8.034,,0.064,,,,0.057,,0.546,,,,0.179,,,,,,-0.004,,0.168,,,,0.038,,0.002,
1955-09,78.819,,67.322,,28.769,,28.440,,27.931,,0.509,,0.329,,0.203,,0.126,,,,,,1.494,,1.563,,0.539,,0.591,,0.723,,-0.132,,-0.052,,-0.010,,-0.042,,,,,,,,4.735,,22.921,,,,5.606,,,,,,0.265,,5.595,,,,8.092,,0.066,,,,0.090,,0.504,,,,0.147,,,,,,-0.018,,0.125,,,,0.058,,0.002,
1955-10,79.887,,68.268,,28.693,,28.338,,27.808,,0.530,,0.355,,0.223,,0.132,,,,,,1.068,,0.946,,-0.076,,-0.102,,-0.123,,0.021,,0.026,,0.020,,0.006,,,,,,,,4.750,,23.608,,,,5.798,,,,,,0.251,,5.759,,,,8.116,,0.071,,,,0.015,,0.687,,,,0.192,,,,,,-0.014,,0.164,,,,0.024,,0.005,
1955-11,81.007,,69.450,,28.875,,28.624,,28.126,,0.498,,0.251,,0.189,,0.062,,,,,,1.120,,1.182,,0.182,,0.286,,0.318,,-0.032,,-0.104,,-0.034,,-0.070,,,,,,,,4.785,,24.203,,,,5.964,,,,,,0.249,,5.861,,,,8.137,,0.073,,,,0.035,,0.595,,,,0.166,,,,,,-0.002,,0.102,,,,0.021,,0.002,
1955-12,82.827,,71.339,,29.475,,29.278,,28.784,,0.494,,0.197,,0.197,,-,Nothing exists,,,,,1.820,,1.889,,0.600,,0.654,,0.658,,-0.004,,-0.054,,0.008,,-0.062,,,,,,,,4.956,,24.892,,,,6.186,,,,,,0.230,,6.017,,,,8.151,,0.077,,,,0.171,,0.689,,,,0.222,,,,,,-0.019,,0.156,,,,0.014,,0.004,
1956-01,84.032,,72.159,,29.605,,29.287,,28.685,,0.602,,0.318,,0.210,,0.108,,,,,,1.205,,0.820,,0.130,,0.009,,-0.099,,0.108,,0.121,,0.013,,0.108,,,,,,,,5.119,,25.382,,,,6.312,,,,,,0.228,,6.145,,,,8.187,,0.078,,,,0.163,,0.490,,,,0.126,,,,,,-0.002,,0.128,,,,0.036,,0.001,
1956-02,84.844,,73.147,,29.908,,29.600,,29.069,,0.531,,0.308,,0.209,,0.099,,,,,,0.812,,0.988,,0.303,,0.313,,0.384,,-0.071,,-0.010,,-0.001,,-0.009,,,,,,,,5.167,,25.747,,,,6.423,,,,,,0.223,,6.228,,,,8.207,,0.081,,,,0.048,,0.365,,,,0.111,,,,,,-0.005,,0.083,,,,0.020,,0.003,
1956-03,85.714,,74.177,,30.066,,29.741,,29.495,,0.246,,0.325,,0.215,,0.110,,,,,,0.870,,1.030,,0.158,,0.141,,0.426,,-0.285,,0.017,,0.006,,0.011,,,,,,,,5.238,,26.050,,,,6.523,,,,,,0.220,,6.354,,,,8.263,,0.082,,,,0.071,,0.303,,,,0.100,,,,,,-0.003,,0.126,,,,0.056,,0.001,
1956-04,87.131,,74.960,,30.170,,29.895,,29.658,,0.237,,0.275,,0.189,,0.086,,,,,,1.017,,0.783,,0.104,,0.154,,0.163,,-0.009,,-0.050,,-0.026,,-0.024,,,,,,,,5.192,,26.541,,,,6.651,,,,,,0.259,,6.388,,,,8.289,,0.082,,,,-0.046,,0.491,,,,0.128,,,,,,0.039,,0.034,,,,0.026,,-,Nothing exists
1956-05,87.823,,75.696,,30.459,,30.105,,29.813,,0.292,,0.354,,0.212,,0.142,,,,,,0.692,,0.736,,0.289,,0.210,,0.155,,0.055,,0.079,,0.023,,0.056,,,,,,,,5.218,,26.846,,,,6.790,,,,,,0.254,,6.476,,,,8.304,,0.087,,,,0.026,,0.305,,,,0.139,,,,,,-0.005,,0.088,,,,0.015,,0.005,
1956-06,88.681,,76.639,,30.696,,30.318,,30.089,,0.229,,0.378,,0.197,,0.181,,,,,,0.858,,0.943,,0.237,,0.213,,0.276,,-0.063,,0.024,,-0.015,,0.039,,,,,,,,5.305,,27.192,,,,6.952,,,,,,0.255,,6.559,,,,8.295,,0.090,,,,0.087,,0.346,,,,0.162,,,,,,0.001,,0.083,,,,-0.009,,0.003,
1956-07,89.118,,77.023,,30.406,,30.041,,29.704,,0.337,,0.365,,0.218,,0.147,,,,,,0.437,,0.384,,-0.290,,-0.277,,-0.385,,0.108,,-0.013,,0.021,,-0.034,,,,,,,,5.319,,27.653,,,,7.104,,,,,,0.257,,6.677,,,,8.280,,0.091,,,,0.014,,0.461,,,,0.152,,,,,,0.002,,0.118,,,,-0.015,,0.001,
1956-08,89.863,,77.591,,30.278,,29.891,,29.451,,0.440,,0.387,,0.182,,0.205,,,,,,0.745,,0.568,,-0.128,,-0.150,,-0.253,,0.103,,0.022,,-0.036,,0.058,,,,,,,,5.406,,28.073,,,,7.284,,,,,,0.265,,6.834,,,,8.301,,0.096,,,,0.087,,0.420,,,,0.180,,,,,,0.008,,0.157,,,,0.021,,0.005,
1956-09,90.906,,78.601,,30.545,,30.185,,29.747,,0.438,,0.360,,0.216,,0.144,,,,,,1.043,,1.010,,0.267,,0.294,,0.296,,-0.002,,-0.027,,0.034,,-0.061,,,,,,,,5.573,,28.368,,,,7.440,,,,,,0.267,,6.892,,,,8.319,,0.098,,,,0.167,,0.295,,,,0.156,,,,,,0.002,,0.058,,,,0.018,,0.002,
1956-10,91.659,,79.143,,30.521,,30.175,,29.490,,0.685,,0.346,,0.217,,0.129,,,,,,0.753,,0.542,,-0.024,,-0.010,,-0.257,,0.247,,-0.014,,0.001,,-0.015,,,,,,,,5.704,,28.760,,,,7.628,,,,,,0.267,,6.974,,,,8.338,,0.103,,,,0.131,,0.392,,,,0.188,,,,,,-,Nothing exists,0.082,,,,0.019,,0.005,
1956-11,92.638,,80.041,,30.713,,30.293,,29.625,,0.668,,0.420,,0.180,,0.240,,,,,,0.979,,0.898,,0.192,,0.118,,0.135,,-0.017,,0.074,,-0.037,,0.111,,,,,,,,5.852,,29.141,,,,7.823,,,,,,0.260,,7.055,,,,8.332,,0.105,,,,0.148,,0.381,,,,0.195,,,,,,-0.007,,0.081,,,,-0.006,,0.002,
1956-12,93.280,,80.938,,31.229,,30.805,,30.347,,0.458,,0.424,,0.219,,0.205,,,,,,1.202,,1.457,,0.516,,0.512,,0.722,,-0.210,,0.004,,0.039,,-0.035,,,,,,,,5.915,,29.552,,,,7.450,,,,,,0.269,,7.117,,,,8.315,,0.069,,,,0.063,,0.411,,,,0.147,,,,,,0.009,,0.062,,,,-0.017,,0.004,
1957-01,93.522,,80.906,,31.214,,30.785,,30.178,,0.607,,0.429,,0.220,,0.209,,,,,,0.502,,0.228,,-0.015,,-0.020,,-0.169,,0.149,,0.005,,0.001,,0.004,,,,,,,,5.855,,29.714,,,,7.415,,,,,,0.282,,7.169,,,,8.334,,0.073,,,,-0.060,,0.272,,,,0.115,,,,,,0.013,,0.052,,,,0.019,,0.004,
1957-02,94.276,,81.732,,31.436,,31.077,,30.470,,0.607,,0.359,,0.190,,0.169,,,,,,0.754,,0.826,,0.222,,0.292,,0.292,,-,Nothing exists,-0.070,,-0.030,,-0.040,,,,,,,,5.876,,30.175,,,,7.502,,,,,,0.281,,7.164,,,,8.336,,0.074,,,,0.021,,0.461,,,,0.087,,,,,,-0.001,,-0.005,,,,0.002,,0.001,
1957-03,95.068,,82.678,,32.063,,31.780,,31.228,,0.552,,0.283,,0.213,,0.070,,,,,,0.792,,0.946,,0.627,,0.703,,0.758,,-0.055,,-0.076,,0.023,,-0.099,,,,,,,,5.635,,30.337,,,,7.607,,,,,,0.279,,7.305,,,,8.331,,0.074,,,,-0.241,,0.162,,,,0.105,,,,,,-0.002,,0.141,,,,-0.005,,-,Nothing exists
1957-04,95.096,,82.537,,31.640,,31.221,,30.592,,0.629,,0.419,,0.225,,0.194,,,,,,0.028,,-0.141,,-0.423,,-0.559,,-0.636,,0.077,,0.136,,0.012,,0.124,,,,,,,,5.647,,30.735,,,,7.609,,,,,,0.281,,7.373,,,,8.313,,0.075,,,,0.012,,0.398,,,,0.002,,,,,,0.002,,0.068,,,,-0.018,,0.001,
1957-05,95.941,,83.174,,31.854,,31.351,,30.675,,0.676,,0.503,,0.235,,0.268,,,,,,0.845,,0.637,,0.214,,0.130,,0.083,,0.047,,0.084,,0.010,,0.074,,,,,,,,5.664,,31.110,,,,7.733,,,,,,0.297,,7.384,,,,8.332,,0.076,,,,0.017,,0.375,,,,0.124,,,,,,0.016,,0.011,,,,0.019,,0.001,
1957-06,96.883,,84.230,,32.409,,32.045,,31.387,,0.658,,0.364,,0.252,,0.112,,,,,,0.942,,1.056,,0.555,,0.694,,0.712,,-0.018,,-0.139,,0.017,,-0.156,,,,,,,,5.810,,31.184,,,,7.819,,,,,,0.301,,7.401,,,,8.312,,0.076,,,,0.146,,0.074,,,,0.086,,,,,,0.004,,0.017,,,,-0.020,,-,Nothing exists
